Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
hostis,"hostis, hostis","hostis, hostis",Nomen,m (Gen. Pl. -ium),der Feind (Landesfeind),1,,,,,Campus C1,35,,,,,,,Top500
iacere,"iacēre, iaceō","iacere, iaceo",Verb,,liegen,1,,,,,Campus C1,26,,,,,,,
iam,iam,iam,Adverb,Adv.,"schon, bereits; nun",3,,,,,Campus C1,4,,,,,,,Top500
ibi,ibī,ibi,Adverb,Adv.,dort,1,,,,,Campus C1,3,,,,,,,Top500
idoneus,"idōneus, a, um","idoneus, a, um",Adjektiv,,"geeignet, passend",2,,,,,Campus C1,34,,,,,,,
imperare,"imperāre, imperō","imperare, impero",Verb,,"befehlen, herrschen (über)",2,,,,,Campus C1,9,,,,,,,Top500
imperator,"imperātor, imperātōris","imperator, imperatoris",Nomen,m,"der Befehlshaber, der Feldherr, der Kaiser",3,,,,,Campus C1,18,,,,,,,Top500
imperium,"imperium, imperii","imperium, imperii",Nomen,,"der Befehl, die Herrschaft, das Reich",3,,,,,Campus C1,14,,,,,,,Top500
in (m. Abl.),in (m. Abl.),in (m. Abl.),Präposition,Präp. m. Abl.,"in, an, auf, bei",4,Frage: Wo?,,,,Campus C1,1,,Präp. m. Abl.,,,,,Top500
in (m. Akk.),in (m. Akk.),in (m. Akk.),Präposition,Präp. m. Akk.,"in (... hinein), nach (wohin?)",2,,,,,Campus C1,12,,,,,,,Top500
in animo habere,in animō habēre,in animo habere,,,"im Sinn haben, vorhaben",2,,,,,Campus C1,19,,,,,,,
in honore esse,in honōre esse,in honore esse,,,"in Ehren stehen, angesehen sein",2,,,,,Campus C1,18,,,,,,,
inanis,"inānis, e","inanis, e",,,"leer, wertlos",2,,,,,Campus C1,35,,,,,,,
indicare,"indicāre, indicō","indicare, indico",Verb,,"anzeigen, melden",2,,,,,Campus C1,12,,,,,,,
ingenium,"ingenium, ingenii","ingenium, ingenii",Nomen,,"die Begabung, das Talent, der Verstand",3,,"Ingenieur, Genie",,,Campus C1,11,,ingenii,,,,,Top500
inire,"inīre, ineō, iniī","inire, ineo, inii",,,"hineingehen (in), beginnen",2,,,,,Campus C1,37,,,,,,,
iniuria,"iniūria, iniūriae","iniuria, iniuriae",Nomen,,"das Unrecht, die Beleidigung; die Rechtsverletzung",3,,,,,Campus C1,9,,,,,,,Top500
insula,"īnsula, īnsulae","insula, insulae",Nomen,,die Insel; der Wohnblock,2,,,,,Campus C1,7,,,,,,,
interficere,"interficere, interficiō, interfēcī","interficere, interficio, interfeci",Verb,,"töten, vernichten",2,,,,,Campus C1,22;27,,,,,,,Top500
intrare,"intrāre, intrō","intrare, intro",Verb,,"betreten, eintreten",2,,,,,Campus C1,8,,,,,,,
invenire,"invenīre, inveniō, invēnī","invenire, invenio, inveni",Verb,,"finden, erfinden",2,,,,,Campus C1,13;27,,,,,,,Top500
ire,"īre, eō, iī","ire, eo, ii",,,gehen,1,,,,,Campus C1,37,,,,,,,Top500
is,"is, ea, id","is, ea, id",,,"dieser, diese, dieses; er, sie, es",6,,,,,Campus C1,26,,"ea, id",,,,,Top500
ita,ita,ita,Adverb,Adv.,so,1,,,,,Campus C1,13,,,,,,,Top500
Italia,Italia,Italia,,,Italien,1,,,,,Campus C1,31,,,,,,,
itaque,itaque,itaque,,,deshalb,1,,,,,Campus C1,5,,,,,,,Top500
iterum,iterum,iterum,Adverb,Adv.,"wiederum, zum zweiten Mal",2,,iterum reimt sich mit wiederum,,,Campus C1,5,,,,,,,
Iuppiter,"Iuppiter, Iovis","Iuppiter, Iovis",Nomen,m,Jupiter (höchster Gott der Römer),1,,,,,Campus C1,21,,,,,,,
iuvenis (Adj.),"iuvenis, iuvenis","iuvenis, iuvenis",Nomen,Adj. m/f,jung,1,,,,,Campus C1,32,,iuvenis,,,,,
iuvenis (Subst.),"iuvenis, iuvenis","iuvenis, iuvenis",Nomen,m,der junge Mann,1,,,,,Campus C1,32,,iuvenis,,,,,
labor,"labor, labōris","labor, laboris",Nomen,m,"die Arbeit, die Anstrengung",2,,,,,Campus C1,27,,,,,,,Top500
laborare,"labōrāre, labōrō","laborare, laboro",Verb,,"arbeiten, sich anstrengen",2,,,,,Campus C1,8,,,,,,,
laborare (m. Abl.),labōrāre (m. Abl.),laborare (m. Abl.),,m. Abl.,"leiden an, in Not / Sorge sein wegen",2,,,,,Campus C1,28,,,,,,,
lacrima,"lacrima, lacrimae","lacrima, lacrimae",Nomen,,die Träne,1,,,,,Campus C1,7,,,,,,,Top500
laetitia,"laetitia, laetitiae","laetitia, laetitiae",Nomen,,die Freude,1,,,,,Campus C1,7,,,,,,,
Laocoon,"Lāocoōn, Lāocoontis","Laocoon, Laocoontis",Nomen,m,Laokoon (trojanischer Priester),1,,,,,Campus C1,29,,,,,,,
latere,"latēre, lateō","latere, lateo",Verb,,verborgen sein,1,,,,,Campus C1,5,,,,,,,
Latini,"Latīnī, Latīnōrum","Latini, Latinorum",Nomen,m Pl.,die Latiner (Volksstamm in Italien),1,,,,,Campus C1,31,,,,,,,
Latinus,Latīnus,Latinus,,,Latinus (König der Latiner),1,,,,,Campus C1,31,,,,,,,
laudare,"laudāre, laudō","laudare, laudo",Verb,,loben,1,,,,,Campus C1,8,,,,,,,Top500
leo,"leō, leōnis","leo, leonis",Nomen,m,der Löwe,1,,,,,Campus C1,23,,,,,,,
lex,"lēx, lēgis","lex, legis",Nomen,f,"das Gesetz, die Bedingung",2,,,,,Campus C1,36,,,,,,,Top500
libenter,libenter,libenter,Adverb,Adv.,gerne,1,,,,,Campus C1,8,,,,,,,
liber,"līber, lībera, līberum","liber, libera, liberum",,,frei,1,,,,,Campus C1,15,,,,,,,Top500
liberare,"līberāre, līberō","liberare, libero",Verb,,"befreien, freilassen",2,,,,,Campus C1,13,,,,,,,
liberi,"līberī, līberōrum","liberi, liberorum",Nomen,m Pl.,die Kinder,1,,,,,Campus C1,26,,līberōrum,,,,,Top500
libertas,"lībertās, lībertātis","libertas, libertatis",Nomen,f,die Freiheit,1,,,,,Campus C1,20,,,,,,,Top500
licet,licet,licet,,,"es ist erlaubt, es ist möglich",2,,,,,Campus C1,18,,,,,,,Top500
lingua,"lingua, linguae","lingua, linguae",Nomen,,"die Sprache, die Rede",2,,,,,Campus C1,3,,,,,,,
Livius,Līvius,Livius,,,Titus Livius (röm. Geschichtsschreiber),1,,,,,Campus C1,34,,,,,,,
locus,"locus, loci","locus, loci",Nomen,,"der Ort, der Platz, die Stelle",3,,,,,Campus C1,33,,,,,,,Top500
ludus,"lūdus, lūdi","ludus, ludi",Nomen,,das Spiel; die Schule,2,,,,,Campus C1,10,,,,,,,
lux,"lūx, lūcis","lux, lucis",Nomen,f,"das Licht, das Tageslicht",2,,,,,Campus C1,25,,,,,,,Top500
magis,magis,magis,,,mehr,1,,,,,Campus C1,17,,,,,,,Top500
magister,"magister, magistrī","magister, magistri",Nomen,m,"der Lehrer, der Meister",2,,,,,Campus C1,15,,,,,,,
magnitudo,"magnitūdō, magnitūdinis","magnitudo, magnitudinis",Nomen,f,die Größe,1,,,,,Campus C1,23,,,,,,,Top500
magnus,"magnus, a, um","magnus, a, um",Adjektiv,,"groß, bedeutend",2,,,,,Campus C1,14,,"magna, magnum",,,,,Top500
malle,"mālle, mālō","malle, malo",,,lieber wollen,1,,,,,Campus C1,19,,,,,,,
malus,"malus, a, um","malus, a, um",Adjektiv,,"schlecht, schlimm",2,,,,,Campus C1,24,,,,,,,Top500
manere,"manēre, maneō, mānsī","manere, maneo, mansi",Verb,,"bleiben, (er)warten",2,,,,,Campus C1,12;27,,,,,,,Top500
maritus,"marītus, marīti","maritus, mariti",Nomen,,der Ehemann,1,,Englisch: to marry – heiraten,,,Campus C1,30,,marīti,,,,,
mater,"māter, mātris","mater, matris",Nomen,f,die Mutter,1,,,,,Campus C1,20,,,,,,,Top500
maxime,maximē,maxime,Adverb,Adv.,"am meisten, besonders",2,,,,,Campus C1,34,,,,,,,
me,mē,me,,Akk.,mich,1,,,,,Campus C1,13,,,,,,,
mecum,mēcum,mecum,,,mit mir,1,,,,,Campus C1,13,,,,,,,
mensa,"mēnsa, mēnsae","mensa, mensae",Nomen,,der (Ess-)Tisch,1,,,,,Campus C1,8,,,,,,,
mercator,"mercātor, mercātōris","mercator, mercatoris",Nomen,m,"der Kaufmann, der Händler",2,,,,,Campus C1,18,,,,,,,
Mercurius,Mercurius,Mercurius,,,Merkur (Götterbote),1,,,,,Campus C1,21,,,,,,,
meus,"meus, a, um","meus, a, um",Adjektiv,,mein,1,,,,,Campus C1,14,,,,,,,Top500
mihi,mihi,mihi,,Dat.,mir,1,,,,,Campus C1,13,,,,,,,
miles,"mīles, mīlitis","miles, militis",Nomen,m,der Soldat,1,,Militär,,,Campus C1,32,,mīlitis,,,,,Top500
Minerva,Minerva,Minerva,,,Minerva (Göttin der Weisheit),1,,,,,Campus C1,21,,,,,,,
mirus,"mīrus, a, um","mirus, a, um",Adjektiv,,"erstaunlich, sonderbar",2,,,,,Campus C1,24,,,,,,,
miser,"miser, misera, miserum","miser, misera, miserum",,,"arm, erbärmlich, unglücklich",3,,,,,Campus C1,15,,,,,,,Top500
mittere,"mittere, mittō, mīsī","mittere, mitto, misi",Verb,,"(los)lassen, schicken, werfen",3,,,,,Campus C1,16;27,,,,,,,Top500
modestia,"modestia, modestiae","modestia, modestiae",Nomen,,"die Bescheidenheit, der Anstand",2,,,,,Campus C1,9,,,,,,,
monere,monēre,monere,,,"mahnen, ermahnen",2,,,,,Campus C1,2,,,,,,,
mons,"mōns, montis","mons, montis",Nomen,m (Gen. Pl. -ium),der Berg,1,,,,,Campus C1,23,,,,,,,Top500
monstrum,"mōnstrum, mōnstri","monstrum, monstri",Nomen,,das Ungeheuer,1,,,,,Campus C1,24,,,,,,,
monumentum,"monumentum, monumenti","monumentum, monumenti",Nomen,,das Denkmal,1,,,,,Campus C1,30,,,,,,,
mors,"mors, mortis","mors, mortis",Nomen,f (Gen. Pl. -ium),der Tod,1,,,,,Campus C1,22,,,,,,,Top500
mortuus,"mortuus, a, um","mortuus, a, um",Adjektiv,,"gestorben, tot; Subst. der Tote",3,,,,,Campus C1,21,,,,,,,
mos,"mōs, mōris","mos, moris",Nomen,m,"die Sitte, der Brauch; Pl. der Charakter",3,,,,,Campus C1,36,,,,,,,Top500
movere,"movēre, moveō, mōvī","movere, moveo, movi",Verb,,"bewegen, beeindrucken",2,,,,,Campus C1,7;27,,,,,,,Top500
mox,mox,mox,Adverb,Adv.,bald,1,,,,,Campus C1,7,,,,,,,
mulier,"mulier, mulieris","mulier, mulieris",Nomen,f,die Frau,1,,,,,Campus C1,19,,,,,,,Top500
multitudo,"multitūdō, multitūdinis","multitudo, multitudinis",Nomen,f,"die große Zahl, die Menge",2,,,,,Campus C1,23,,,,,,,Top500
multum,multum,multum,Adverb,Adv.,"sehr, viel",2,,,,,Campus C1,34,,,,,,,
multum valere,multum valēre,multum valere,,,großen Einfluss haben,1,,,,,Campus C1,34,,,,,,,
multus,"multus, a, um","multus, a, um",Adjektiv,,viel,1,,,,,Campus C1,14,,,,,,,Top500
munire,"mūnīre, mūniō","munire, munio",Verb,,"bauen, befestigen, schützen",3,,,,,Campus C1,31,,,,,,,
murus,"mūrus, mūri","murus, muri",Nomen,,die Mauer,1,,,,,Campus C1,1,,,,,,,
nam,nam,nam,,,"denn, nämlich",2,,,,,Campus C1,3,,,,,,,Top500
narrare,"narrāre, narrō","narrare, narro",Verb,,erzählen,1,,,,,Campus C1,14,,,,,,,
natio,"nātiō, nātiōnis","natio, nationis",Nomen,f,"das Volk, der Volksstamm",2,,,,,Campus C1,23,,,,,,,
natura,"nātūra, nātūrae","natura, naturae",Nomen,,"die Natur, das Wesen, die Beschaffenheit",3,,,,,Campus C1,6,,,,,,,Top500
negotium,"negōtium, negōtii","negotium, negotii",Nomen,,"die Aufgabe, das Geschäft; die Angelegenheit",3,,,,,Campus C1,22,,,,,,,
Neptunus,Neptūnus,Neptunus,,,Neptun (Gott des Meeres),1,,,,,Campus C1,21,,,,,,,
neque,neque,neque,,,"und nicht, auch nicht",2,,,,,Campus C1,3,,,,,,,Top500
neque ... neque,neque ... neque,neque ... neque,,,weder ... noch,1,,,,,Campus C1,3,,,,,,,Top500
nescire,"nescīre, nesciō","nescire, nescio",Verb,,"nicht wissen, nicht kennen, nicht verstehen",3,,,,,Campus C1,10,,,,,,,Top500
niger,"niger, nigra, nigrum","niger, nigra, nigrum",,,"schwarz, dunkel",2,,,,,Campus C1,15,,,,,,,
nihil,nihil,nihil,,,nichts,1,,,,,Campus C1,10,,,,,,,Top500
nisi,nisī,nisi,Subjunktion,Subj.,wenn nicht,1,,,,,Campus C1,23,,,,,,,Top500
nobis,nōbīs,nobis,,Dat.,uns,1,,,,,Campus C1,13,,,,,,,
nobiscum,nōbīscum,nobiscum,,,mit uns,1,,,,,Campus C1,13,,,,,,,
nocte,nocte,nocte,,,nachts,1,,,,,Campus C1,28,,,,,,,
nolle,"nolle, nōlō","nolle, nolo",,,nicht wollen,1,,,,,Campus C1,19,,,,,,,Top500
non,nōn,non,,,nicht,1,,,,,Campus C1,2,,,,,,,Top500
non iam,nōn iam,non iam,,,nicht mehr,1,,,,,Campus C1,4,,,,,,,
nondum,nōndum,nondum,Adverb,Adv.,noch nicht,1,,,,,Campus C1,25,,,,,,,
nonne?,nōnne?,nonne?,,,(etwa) nicht?,1,,,,,Campus C1,17,,,,,,,
nos,nōs,nos,,Nom. / Akk.,wir / uns,1,,,,,Campus C1,13,,,,,,,Top500
noster,"noster, nostra, nostrum","noster, nostra, nostrum",,,unser,1,,,,,Campus C1,15,,,,,,,Top500
novem,novem,novem,,indekl.,neun,1,,,,,Campus C1,33,,,,,,,
novus,"novus, a, um","novus, a, um",Adjektiv,,"neu, ungewöhnlich",2,,,,,Campus C1,14,,,,,,,Top500
nox,"nox, noctis","nox, noctis",Nomen,f  (Gen. Pl. -ium),die Nacht,1,,,,,Campus C1,25,,,,,,,Top500
Numitor,"Numitor, Numitōris","Numitor, Numitoris",Nomen,m,"Numitor (König von Alba, Großvater von Romulus und Remus)",2,,,,,Campus C1,33,,,,,,,
numquam,numquam,numquam,Adverb,Adv.,niemals,1,,,,,Campus C1,4,,,,,,,Top500
nunc,nunc,nunc,Adverb,Adv.,"nun, jetzt",2,,,,,Campus C1,2,,,,,,,Top500
nuntiare,"nūntiāre, nūntiō","nuntiare, nuntio",Verb,,melden,1,,,,,Campus C1,21,,,,,,,Top500
nuntius,"nūntius, nūntii","nuntius, nuntii",Nomen,,"der Bote, die Nachricht",2,,,,,Campus C1,16,,,,,,,
occidere,"occidere, óccidō, óccidī","occidere, occido, occidi",Verb,,"(zu Boden) fallen, umkommen, untergehen",3,,,,,Campus C1,28,,,,,,,
occidereII,"occīdereII, occīdō, occīdī","occidereII, occido, occidi",,,"niederschlagen, töten",2,,,,,Campus C1,31,,,,,,,
occupare,"occupāre, occupō","occupare, occupo",Verb,,"besetzen, einnehmen",2,,,,,Campus C1,35,,,,,,,Top500
octo,octō,octo,,indekl.,acht,1,,,,,Campus C1,14,,,,,,,
oculus,"oculus, oculi","oculus, oculi",Nomen,,das Auge,1,,,,,Campus C1,2,,oculi,,,,,Top500
officium,"officium, officii","officium, officii",Nomen,,"der Dienst, die Pflicht, das Pflichtgefühl",3,,,,,Campus C1,28,,,,,,,Top500
officium praestare,officium praestāre,officium praestare,,,"eine Pflicht leisten, erfüllen",2,,,,,Campus C1,28,,,,,,,
omittere,"omittere, omittō, omīsī","omittere, omitto, omisi",Verb,,"aufgeben, beiseite lassen",2,,,,,Campus C1,37,,,,,,,
omnis,"omnis, e","omnis, e",,,"jeder, ganz; Pl. alle",3,,,,,Campus C1,33,,,,,,,Top500
oportet,oportet,oportet,,,"es gehört sich, es ist nötig",2,,,,,Campus C1,30,,,,,,,Top500
oppidum,"oppidum, oppidi","oppidum, oppidi",Nomen,,die Stadt (Kleinstadt),1,,,,,Campus C1,16,,,,,,,Top500
opportunus,"opportūnus, a, um","opportunus, a, um",Adjektiv,,"geeignet, günstig",2,,,,,Campus C1,34,,,,,,,
ora,"ōra, ōrae","ora, orae",Nomen,,die Küste,1,,,,,Campus C1,29,,,,,,,
ordo,"ōrdō, ōrdinis","ordo, ordinis",Nomen,m,"die Ordnung, die Reihe, der Stand",3,,,,,Campus C1,37,,,,,,,Top500
ornamentum,"ōrnāmentum, ōrnāmenti","ornamentum, ornamenti",Nomen,,"der Schmuck, das Schmuckstück",2,,,,,Campus C1,12,,,,,,,
ornare,"ōrnāre, ōrnō","ornare, orno",Verb,,"ausstatten, schmücken",2,,,,,Campus C1,8,,,,,,,
ostendere,"ostendere, ostendō, ostendī","ostendere, ostendo, ostendi",Verb,,"zeigen, erklären",2,,,,,Campus C1,16;28,,"ostendō, ostendī",,,,,Top500
Palatium,"Palātium, Palātii","Palatium, Palatii",Nomen,,der Palatin (Hügel Roms),1,,,,,Campus C1,15,,,,,,,
parare,"parāre, parō","parare, paro",Verb,,"(vor)bereiten, vorhaben (m. Inf.); erwerben",3,,,,,Campus C1,8,,,,,,,Top500
parentes,"parentes, parentum","parentes, parentum",Nomen,m Pl.,die Eltern,1,,,,,Campus C1,36,,,,,,,Top500
parere,pārēre,parere,,,gehorchen,1,,,,,Campus C1,2,,,,,,,
pars,"pars, partis","pars, partis",Nomen,f (Gen. Pl. -ium),"der Teil, die Seite",2,,,,,Campus C1,22,,,,,,,Top500
parvus,"parvus, a, um","parvus, a, um",Adjektiv,,"klein, gering",2,,,,,Campus C1,14,,"parva, parvum",,,,,Top500
pater,"pater, patris","pater, patris",Nomen,m,der Vater,1,,,,,Campus C1,20,,,,,,,Top500
patere,"patēre, pateō","patere, pateo",Verb,,offen stehen,1,,,,,Campus C1,10,,,,,,,
patria,"patria, patriae","patria, patriae",Nomen,,die Heimat,1,,,,,Campus C1,9,,,,,,,Top500
paulatim,paulātim,paulatim,Adverb,Adv.,allmählich,1,,,,,Campus C1,29,,,,,,,
paulo post,paulō post,paulo post,,,(ein) wenig später,1,,,,,Campus C1,26,,,,,,,
pecunia,"pecūnia, pecūniae","pecunia, pecuniae",Nomen,,"das Geld, das Vermögen",2,,,,,Campus C1,19,,,,,,,Top500
pellere,"pellere, pellō, pepulī","pellere, pello, pepuli",Verb,,"stoßen, schlagen, (ver)treiben",3,,,,,Campus C1,32,,"pellō, pepulī",,,,,
per,per,per,Präposition,Präp. m. Akk.,"durch, hindurch",2,,,,,Campus C1,16,,,,,,,Top500
periculum,"perīculum, perīculi","periculum, periculi",Nomen,,die Gefahr,1,,,,,Campus C1,24,,,,,,,Top500
petere,"petere, petō, petīvī","petere, peto, petivi",Verb,,"aufsuchen, (er)streben, bitten, verlangen; angreifen",5,,,,,Campus C1,18;29,,"petō, petīvī",,,,,Top500
pietas,"pietās, pietātis","pietas, pietatis",Nomen,f,"das Pflichtgefühl, die Frömmigkeit",2,,,,,Campus C1,20,,,,,,,
pius,"pius, a, um","pius, a, um",Adjektiv,,"fromm, gerecht, pflichtbewusst",3,,,,,Campus C1,17,,,,,,,
placere,"placēre, placeō","placere, placeo",Verb,,gefallen,1,,,,,Campus C1,5,,,,,,,Top500
plebs,"plēbs, plēbis","plebs, plebis",Nomen,f,"das (nicht adelige, einfache) Volk",2,,,,,Campus C1,36,,,,,,,
plenus,"plēnus, a, um","plenus, a, um",Adjektiv,,voll,1,,,,,Campus C1,19,,,,,,,
Pluto,"Plūtō, Plūtōnis","Pluto, Plutonis",Nomen,m,Pluto (Gott der Unterwelt),1,,,,,Campus C1,28,,,,,,,
Pompei,"Pompēī, Pompēiōrum","Pompei, Pompeiorum",Nomen,m Pl.,Pompeji (Stadt in Kampanien),1,,,,,Campus C1,26,,,,,,,
Pompeianus,"Pompēiānus, a, um","Pompeianus, a, um",Adjektiv,,pompejanisch; Subst. Pompejaner,2,,,,,Campus C1,18,,,,,,,
populus,"populus, populi","populus, populi",Nomen,,das Volk,1,,,,,Campus C1,6,,,,,,,Top500
porta,"porta, portae","porta, portae",Nomen,,das Tor,1,,,,,Campus C1,11,,,,,,,
portare,"portāre, portō, portavi","portare, porto, portavi",Verb,,"bringen, tragen",2,,,,,Campus C1,8,,"portō, portavi",,,,,
posse,"posse, possum, potuī","posse, possum, potui",,,können,1,,,,,Campus C1,17;25,,,,,,,Top500
post,post,post,Präposition,Präp. m. Akk.,"hinter, nach",2,,,,,Campus C1,12,,,,,,,Top500
postea,posteā,postea,Adverb,Adv.,"nachher, später",2,,,,,Campus C1,26,,,,,,,Top500
postquam,postquam,postquam,Subjunktion,Subj. m. Perf.,"nachdem, als",2,,,,,Campus C1,33,,,,,,,Top500
potestas,"potestās, potestātis","potestas, potestatis",Nomen,f,"die (Amts-)Gewalt, die Macht",2,,,,,Campus C1,20,,,,,,,Top500
praebere,"praebēre, praebeō","praebere, praebeo",Verb,,"geben, hinhalten",2,,,,,Campus C1,4,,,,,,,
praemium,"praemium, praemii","praemium, praemii",Nomen,,"die Belohnung, der Lohn",2,,,,,Campus C1,20,,,,,,,
praestare,"praestāre, praestō, praestitī","praestare, praesto, praestiti",Verb,m. Akk.,"gewähren, leisten, zeigen",3,,,,,Campus C1,28,,,,,,,
pretium,"pretium, pretii","pretium, pretii",Nomen,,"der Preis, der Wert",2,,,,,Campus C1,12,,,,,,,
prima luce,prīmā lūce,prima luce,,,bei Tagesanbruch,1,,,,,Campus C1,28,,,,,,,
primo,prīmō,primo,Adverb,Adv.,zuerst,1,,,,,Campus C1,4,,,,,,,
primum,prīmum,primum,Adverb,Adv.,"erstens, zuerst, zum ersten Mal",3,,,,,Campus C1,24,,,,,,,Top500
primus,"prīmus, a, um","primus, a, um",Adjektiv,,"der (die, das) erste",2,,,,,Campus C1,22,,,,,,,Top500
probare,"probāre, probō","probare, probo",Verb,,"prüfen, beweisen, für gut befinden",3,,,,,Campus C1,12,,,,,,,
profecto,profectō,profecto,Adverb,Adv.,"sicherlich, tatsächlich",2,,,,,Campus C1,6,,,,,,,
prohibere,"prohibēre, prohibeō","prohibere, prohibeo",Verb,(ā) m. Abl.,"abhalten (von), hindern (an)",2,,,,,Campus C1,28,,,,,,,Top500
properare,"properāre, properō, properāvī","properare, propero, properavi",Verb,,"eilen, sich beeilen",2,,,,,Campus C1,8,,"properō, properāvī",,,,,
propter,propter,propter,Präposition,Präp. m. Akk.,wegen,1,,,,,Campus C1,22,,,,,,,Top500
provincia,"prōvincia, prōvinciae","provincia, provinciae",Nomen,,die Provinz,1,,,,,Campus C1,9,,,,,,,Top500
puella,"puella, puellae","puella, puellae",Nomen,,das Mädchen,1,,,,,Campus C1,1,,,,,,,
puer,"puer, puerī","puer, pueri",Nomen,m,"der Junge, der Bub",2,,puella,,,Campus C1,15,,puerī,,,,,Top500
pugna,"pūgna, pūgnae","pugna, pugnae",Nomen,,der Kampf,1,,,,,Campus C1,9,,,,,,,
pugnare,"pūgnāre, pūgnō, pūgnāvī","pugnare, pugno, pugnavi",Verb,,kämpfen,1,,,,,Campus C1,9,,"pūgnō, pūgnāvī",,,,,Top500
pulcher,"pulcher, pulchra, pulchrum","pulcher, pulchra, pulchrum",,,schön,1,,,,,Campus C1,15,,,,,,,Top500
putare,"putāre, putō","putare, puto",Verb,,"glauben, meinen",2,,,,,Campus C1,29,,,,,,,Top500
quaerere,"quaerere, quaerō, quaesīvī","quaerere, quaero, quaesivi",Verb,,"erwerben wollen, suchen, fragen",3,,,,,Campus C1,30,,,,,,,Top500
quam,quam,quam,,,"als, wie",2,,,,,Campus C1,17,,,,,,,Top500
quamquam,quamquam,quamquam,Subjunktion,Subj.,obwohl,1,,,,,Campus C1,19,,,,,,,Top500
quando?,quandō?,quando?,,,wann?,1,,,,,Campus C1,36,,,,,,,
quartus,"quārtus, a, um","quartus, a, um",Adjektiv,,"der (die, das) vierte",2,,,,,Campus C1,14,,,,,,,
quattuor,quattuor,quattuor,,indekl.,vier,1,,,,,Campus C1,14,,,,,,,
quemadmodum,quemadmodum,quemadmodum,,,"auf welche Weise, wie",2,,,,,Campus C1,35,,,,,,,
qui,"quī, quae, quod","qui, quae, quod",,,"welcher, welche, welches; der, die, das",6,,,,,Campus C1,34,,,,,,,Top500
quia,quia,quia,Subjunktion,Subj.,weil,1,,,,,Campus C1,19,,,,,,,Top500
quid?,quid?,quid?,,,was?,1,,,,,Campus C1,2,,,,,,,Top500
quidem,quidem,quidem,Adverb,Adv.,"freilich, gewiss, wenigstens, zwar",4,,,,,Campus C1,31,,,,,,,Top500
quin?,quīn?,quin?,,,warum nicht?,1,,,,,Campus C1,17,,,,,,,Top500
quinque,quinque,quinque,,indekl.,fünf,1,,,,,Campus C1,12,,,,,,,
quintus,"quintus, a, um","quintus, a, um",Adjektiv,,"der (die, das) fünfte",2,,,,,Campus C1,27,,,,,,,
quis?,quis?,quis?,,,wer?,1,,,,,Campus C1,3,,,,,,,Top500
quo,quō,quo,,,"wo, wohin",2,,,,,Campus C1,37,,,,,,,Top500
quod,quod,quod,Subjunktion,Subj.,weil; dass,2,,,,,Campus C1,19,,,,,,,Top500
recte,rēctē,recte,Adverb,Adv.,"richtig, zu Recht",2,,,,,Campus C1,4,,,,,,,Top500
redire,"redīre, redeō, rediī","redire, redeo, redii",,,"zurückgehen, zurückkehren",2,,,,,Campus C1,37,,,,,,,Top500
regio,"regiō, regiōnis","regio, regionis",Nomen,f,"das Gebiet, die Gegend, die Richtung",3,,Region,,,Campus C1,23,,regiōnis,,,,,Top500
relinquere,"relinquere, relinquō, relīquī","relinquere, relinquo, reliqui",Verb,,"verlassen, zurücklassen",2,,,,,Campus C1,16;27,,,,,,,Top500
reliquiae,"reliquiae, reliquiārum","reliquiae, reliquiarum",Nomen,f Pl.,"das Überbleibsel, der Überrest, die Ruine",3,,,,,Campus C1,26,,,,,,,
repellere,"repellere, repellō, reppulī","repellere, repello, reppuli",Verb,,"zurückstoßen, abweisen, vertreiben",3,,,,,Campus C1,32,,"repellō, reppulī",,,,,
resistere,"resistere, resistō, restitī","resistere, resisto, restiti",Verb,,stehenbleiben; Widerstand leisten,2,,,,,Campus C1,36,,,,,,,
respondere,"respondēre, respondeō, respondī","respondere, respondeo, respondi",Verb,,antworten,1,,,,,Campus C1,3;34,,,,,,,Top500
rex,"rēx, rēgis","rex, regis",Nomen,m,der König,1,,,,,Campus C1,27,,,,,,,Top500
ridere,"rīdēre, rīdeō, rīsī","ridere, rideo, risi",Verb,,"lachen, auslachen",2,,,,,Campus C1,2;34,,,,,,,
rogare,"rogāre, rogō","rogare, rogo",Verb,,"fragen, bitten",2,,,,,Campus C1,8,,,,,,,Top500
Roma,Rōma,Roma,,,Rom,1,,,,,Campus C1,7,,,,,,,
Romanus,"Rōmānus, a, um","Romanus, a, um",Adjektiv,,römisch,1,,,,,Campus C1,9;14,,,,,,,
RomanusS,"RōmānusS, Rōmāni","RomanusS, Romani",,,"der Römer, der Einwohner Roms",2,,,,,Campus C1,9,,,,,,,
Romulus / Remus,Rōmulus / Remus,Romulus / Remus,,,Romulus / Remus,1,Zwillingsbrüder und sagenhafte Gründer Roms,,,,Campus C1,32,,,,,,,
sacrum,"sacrum, sacri","sacrum, sacri",Nomen,,"das Opfer, das Heiligtum",2,,,,,Campus C1,17,,,,,,,
sacrum facere,sacrum facere,sacrum facere,,,"ein Opfer bringen, opfern",2,,,,,Campus C1,17,,,,,,,
saepe,saepe,saepe,Adverb,Adv.,oft,1,,,,,Campus C1,4,,,,,,,Top500
