Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
coniunx,"coniūnx, coniugis","coniunx, coniugis",Nomen,m/f,"der Gatte, die Gattin",2,,,,,Campus C,57,,,,,,,
coniurare,"coniūrāre, coniūrō, coniūrāvī, coniūrātum","coniurare, coniuro, coniuravi, coniuratum",Verb,,sich verschwören,1,,,,,Campus C,68,,,,,,,
conscribere,"cōnscrībere, cōnscrībō, cōnscrīpsī","conscribere, conscribo, conscripsi",Verb,,"aufschreiben, verfassen",2,,,,,Campus C,39,,,,,,,
considere,"cōnsīdere, cōnsīdō, cōnsēdī, cōnsessum","considere, consido, consedi, consessum",Verb,,"sich setzen, sich niederlassen",2,,,,,Campus C,54,,,,,,,
consilium,"cōnsilium, consiliī","consilium, consilii",Nomen,n,"die Beratung, der Beschluss, der Plan, der Rat",4,,,,,Campus C,11,,,,,,,Top500
consilium capere,cōnsilium capere,consilium capere,,,einen Plan (Entschluss) fassen,1,,,,,Campus C,27,,,,,,,
consistere,"cōnsistere, cōnsistō, cōnstitī","consistere, consisto, constiti",Verb,,"stehenbleiben, haltmachen, sich aufstellen",3,,,,,Campus C,17;29,,,,,,,Top500
conspectus,"cōnspectus, cōnspectūs","conspectus, conspectus",Nomen,m,"der Anblick, das Blickfeld",2,,,,,Campus C,64,,,,,,,
conspicere,"cōnspicere, cōnspiciō, cōnspexī, cōnspectum","conspicere, conspicio, conspexi, conspectum",Verb,,erblicken,1,,,,,Campus C,38,,,,,,,
constat,cōnstat,constat,Verb,,"es ist bekannt, es steht fest",2,,,,,Campus C,29,,,,,,,
constituere,"cōnstituere, cōnstituō, cōnstituī, cōnstitūtum","constituere, constituo, constitui, constitutum",Verb,,"festsetzen, beschließen",2,,,,,Campus C,54,,,,,,,Top500
consul,"cōnsul, cōnsulis","consul, consulis",Nomen,m,der Konsul,1,,,,,Campus C,42,,,,,,,Top500
consulere,"cōnsulere, cōnsulō, cōnsuluī, cōnsultum","consulere, consulo, consului, consultum",Verb,,m. Akk. um Rat fragen; m. Dat. sorgen für; in m. Akk. vorgehen gegen,3,,,,,Campus C,53,,,,,,,Top500
contendere,"contendere, contendō, contendī","contendere, contendo, contendi",Verb,,"sich anstrengen, kämpfen; eilen; behaupten",4,,,,,Campus C,34,,,,,,,Top500
contra,contrā (m. Akk.),contra (m. Akk.),Präposition,Präp. m. Akk.,gegen,1,,,,,Campus C,38,,,,,,,Top500
convenire,"convenīre, conveniō, convēnī, conventum","convenire, convenio, conveni, conventum",Verb,,"zusammenkommen, zusammenpassen, besuchen",3,,,,,Campus C,30,,,,,,,Top500
convertere,"convertere, convertō, convertī, conversum","convertere, converto, converti, conversum",Verb,,"verändern, (um)wenden",2,,,,,Campus C,59,,,,,,,
convocare,"convocāre, convocō, convocāvī, convocātum","convocare, convoco, convocavi, convocatum",Verb,,"zusammenrufen, versammeln",2,,,,,Campus C,38,,,,,,,
copia,"cōpia, cōpiae","copia, copiae",Nomen,,"die Menge, der Vorrat, die Möglichkeit; Pl. die Truppen",4,,,,,Campus C,6;35,,,,,,,Top500
corpus,"corpus, corporis","corpus, corporis",Nomen,n,"der Körper, der Leichnam",2,,,,,Campus C,49,,,,,,,Top500
corripere,"corripere, corripiō, corripuī, correptum","corripere, corripio, corripui, correptum",Verb,,"ergreifen, gewaltsam an sich reißen",2,,,,,Campus C,66,,,,,,,
creare,"creāre, creō, creāvī, creātum","creare, creo, creavi, creatum",Verb,,"erschaffen, wählen",2,,,,,Campus C,18,,,,,,,
credere,"crēdere, crēdō, crēdidī, crēditum","credere, credo, credidi, creditum",Verb,,"glauben, anvertrauen",2,,,,,Campus C,35,,,,,,,Top500
Creon,"Creōn, Creontis","Creon, Creontis",Nomen,m,"Kreon (Bruder des Ödipus, Onkel der Antigone und der Ismene)",2,,,,,Campus C,61,,,,,,,
crescere,"crēscere, crēscō, crēvī","crescere, cresco, crevi",Verb,,wachsen,1,,,,,Campus C,70,,,,,,,
Creta,"Crēta, Crētae","Creta, Cretae",Nomen,,Kreta,1,Griech. Insel,,,,Campus C,10,,,,,,,
crimen,"crīmen, crīminis","crimen, criminis",Nomen,n,"das Verbrechen, der Vorwurf, die Beschuldigung",3,,,,,Campus C,50,,,,,,,Top500
crudelis,"crūdēlis, crūdēlis, crūdēle","crudelis, crudelis, crudele",Adjektiv,,grausam,1,,,,,Campus C,33,,,,,,,
cui,cui?,cui?,Pronomen,,wem?,1,,,,,Campus C,5,,,,,,,
culpa,"culpa, culpae","culpa, culpae",Nomen,f,die Schuld,1,,,,,Campus C,69,,,,,,,
cultus,"cultus, cultūs","cultus, cultus",Nomen,m,"die Bildung, die Lebensweise, die Pflege, die Verehrung",4,,,,,Campus C,61,,,,,,,
cum (m. Abl.),cum (m. Abl.),cum (m. Abl.),Präposition,Präp. m. Abl.,"mit, zusammen mit",2,,,,,Campus C,12,,,,,,,Top500
cum (Subj.),cum (Subj.),cum (Subj.),Subjunktion,Subj. m. Ind.,als (plötzlich); (immer) wenn,2,,,,,Campus C,25,,,,,,,Top500
cuncti,"cūnctī, ae, a","cuncti, ae, a",Adjektiv,Plural,alle (zusammen),1,,,,,Campus C,14,,,,,,,
cupere,"cupere, cupiō, cupīvī, cupītum","cupere, cupio, cupivi, cupitum",Verb,,"wünschen, verlangen",2,,,,,Campus C,43,,,,,,,Top500
cur?,cūr?,cur?,Adverb,,warum?,1,,,,,Campus C,2,,,,,,,Top500
cura,"cūra, cūrae","cura, curae",Nomen,f,"die Pflege, die Sorge",2,,,,,Campus C,36,,,,,,,Top500
curae esse,cūrae esse,curae esse,,,"Sorge bereiten, am Herzen liegen",2,,,,,Campus C,42,,,,,,,
curare,"cūrāre, cūrō, cūrāvī, cūrātum","curare, curo, curavi, curatum",Verb,,"pflegen, sorgen für",2,,"Kur, kurieren",,,Campus C,24,,,,,,,
curia,"cūria, cūriae","curia, curiae",Nomen,,die Kurie,1,Sitzungsgebäude des Senats,,,,Campus C,11,,,,,,,
currere,"currere, currō, cucurrī","currere, curro, cucurri",Verb,,"laufen, eilen",2,,,,,Campus C,44,,,,,,,
custos,"cūstōs, cūstōdis","custos, custodis",Nomen,m/f,"der Wächter, die Wächterin",2,,,,,Campus C,42,,,,,,,
Daedalus,"Daedalus, Daedalī","Daedalus, Daedali",Nomen,m,Dädalus (sagenhafter athenischer Künstler und Baumeister),1,,,,,Campus C,55,,,,,,,
damnare,"damnāre, damnō, damnāvī, damnātum","damnare, damno, damnavi, damnatum",Verb,m. Genitiv,verurteilen (wegen),1,,,,,Campus C,46,,,,,,,
dare,"dare, dō, dedī, datum","dare, do, dedi, datum",Verb,,geben,1,,,,,Campus C,20;28;47,,,,,,,Top500
de,dē (m. Abl.),de (m. Abl.),Präposition,Präp. m. Abl.,"von, von ... her, von ... weg, von ... herab; über",5,,,,,Campus C,14,,,,,,,Top500
de salute desperare,dē salūte dēspērāre,de salute desperare,,,die Hoffnung auf Rettung aufgeben,1,,,,,Campus C,31,,,,,,,
dea,"dea, deae","dea, deae",Nomen,f,die Göttin,1,,,,,Campus C,11,,,,,,,
debere,"dēbēre, dēbeō, dēbuī, dēbitum","debere, debeo, debui, debitum",Verb,,"müssen, sollen, schulden",3,,,,,Campus C,2;58,,,,,,,Top500
decem,decem,decem,,indekl.,zehn,1,,,,,Campus C,14,,,,,,,
decernere,"dēcernere, dēcernō, dēcrēvī, decrētum","decernere, decerno, decrevi, decretum",Verb,,"beschließen, entscheiden",2,,,,,Campus C,39,,,,,,,
decimus,"decimus, a, um","decimus, a, um",Adjektiv,,"der (die, das) zehnte",2,,,,,Campus C,23,,,,,,,
deducere,"dēdūcere, dēdūcō, dēdūxī, dēductum","deducere, deduco, deduxi, deductum",Verb,,"wegführen, hinführen",2,,,,,Campus C,23;54,,,,,,,Top500
deesse,"dēesse, dēsum, dēfuī","deesse, desum, defui",Verb,,"abwesend sein, fehlen",2,,,,,Campus C,23,,,,,,,
defendere,"dēfendere, dēfendō, dēfendī","defendere, defendo, defendi",Verb,ā m. Abl.,"abwehren, verteidigen",2,vor / gegen,,,,Campus C,33,,,,,,,Top500
deferre,"dēferre, dēferō, dētulī, dēlātum","deferre, defero, detuli, delatum",,,"hinbringen, melden, übertragen",3,,,,,Campus C,70,,,,,,,
deficere,"dēficere, dēficiō, dēfēcī, dēfectum","deficere, deficio, defeci, defectum",Verb,a m. Abl.,"abnehmen, ermatten, abfallen (von)",3,,,,,Campus C,67,,,,,,,
deinde,deinde,deinde,Adverb,Adv.,"dann, hierauf",2,,,,,Campus C,65,,,,,,,Top500
delectare,"dēlectāre, dēlectō, dēlectāvī, dēlectātum","delectare, delecto, delectavi, delectatum",Verb,,"erfreuen, unterhalten",2,,,,,Campus C,8,,,,,,,
delere,"dēlēre, dēleō, dēlēvī, dēlētum","delere, deleo, delevi, deletum",Verb,,"zerstören, vernichten",2,,,,,Campus C,6;25,,,,,,,
deligere,"dēligere, dēligō, dēlēgī, dēlēctum","deligere, deligo, delegi, delectum",Verb,,(aus)wählen,1,,,,,Campus C,34;56,,,,,,,
demonstrare,"dēmōnstrāre, dēmōnstrō","demonstrare, demonstro",Verb,,"beweisen, darlegen",2,,,,,Campus C,31,,,,,,,
denique,dēnique,denique,Adverb,Adv.,"schließlich, zuletzt",2,,,,,Campus C,65,,,,,,,
deponere,"dēpōnere, dēpōnō, dēposuī, dēpositum","deponere, depono, deposui, depositum",Verb,,"niederlegen, aufgeben",2,,,,,Campus C,61,,,,,,,
descendere,"dēscendere, dēscendō, dēscendī, dēscēnsum","descendere, descendo, descendi, descensum",Verb,,herabsteigen,1,,,,,Campus C,17;27,,,,,,,
deserere,"dēserere, dēserō, dēseruī","deserere, desero, deserui",Verb,,"im Stich lassen, verlassen",2,,,,,Campus C,42,,,,,,,
desiderare,"dēsīderāre, dēsīderō, dēsīderāvī, dēsīderātum","desiderare, desidero, desideravi, desideratum",Verb,,"sich sehnen nach, vermissen",2,,,,,Campus C,10,,,,,,,
desinere,"dēsinere, dēsinō, dēsiī","desinere, desino, desii",Verb,,aufhören,1,,,,,Campus C,42,,,,,,,
desperare,"dēspērāre, dēspērō, dēspērāvī, dēspērātum","desperare, despero, desperavi, desperatum",Verb,,"die Hoffnung aufgeben, verzweifeln",2,,,,,Campus C,31,,,,,,,
deus,"deus, deī","deus, dei",Nomen,m,"der Gott, die Gottheit",2,,,,,Campus C,6,,,,,,,Top500
dexter,"dexter, dext(e)ra, dext(e)rum","dexter, dext(e)ra, dext(e)rum",,,rechts,1,,,,,Campus C,43,,,,,,,
di!,dī!,di!,Nomen,Vokativ,(oh) Götter!,1,,,,,Campus C,25,,,,,,,
Diana,"Diāna, Diānae","Diana, Dianae",Nomen,,Diana,1,"Griech. Artemis; Göttin der Jagd, des Waldes und des Mondes, Schützerin der Frauen und der Jungfräulichkeit. Zwillingsschwester des Apollo",,,,Campus C,21,,,,,,,
dicere,"dīcere, dīcō, dīxī","dicere, dico, dixi",Verb,,"sagen, sprechen; m. dopp. Akk.: nennen, bezeichnen (als)",4,,"diktieren, Diktat",,,Campus C,16;27,,,,,,,Top500
Dido,"Dīdō, Dīdōnis","Dido, Didonis",Nomen,f,Dido,1,Königin Karthagos,,,,Campus C,30,,,,,,,
dies,"diēs, diēī","dies, diei",Nomen,m,der Tag,1,,,,,Campus C,41,,,,,,,Top500
diffcilis,"diffcilis, difficile","diffcilis, difficile",,,"schwer, schwierig",2,,,,,Campus C,68,,,,,,,
differre,"differre, differō, distulī, dīlātum","differre, differo, distuli, dilatum",,ā m. Abl.,aufschieben; sich unterscheiden (von),2,,,,,Campus C,70,,,,,,,
dignus,"dīgnus, a, um","dignus, a, um",Adjektiv,m. Abl.,"wert, würdig (einer Sache)",2,,,,,Campus C,56,,,,,,,Top500
diligens,"dīligēns, dīligentis","diligens, diligentis",,,"gewissenhaft, sorgfältig",2,,,,,Campus C,38,,,,,,,
dimittere,"dīmittere, dīmittō, dīmīsī, dīmissum","dimittere, dimitto, dimisi, dimissum",Verb,,"aufgeben, entlassen",2,,,,,Campus C,61,,,,,,,
Diogenes,"Diogenēs, Diogenis","Diogenes, Diogenis",Nomen,m,Diogenes (griechischer Philosoph),1,,,,,Campus C,39,,,,,,,
discere,"discere, discō, didicī","discere, disco, didici",Verb,,"lernen, erfahren",2,,,,,Campus C,42,,,,,,,
discipulus,"discipulus, discipulī","discipulus, discipuli",Nomen,,der Schüler,1,,,,,Campus C,11,,,,,,,
diu,diū,diu,Adverb,,lange; lange Zeit,2,,,,,Campus C,7,,,,,,,Top500
dives,"dīves, dīvitis","dives, divitis",,,reich,1,,,,,Campus C,38,,,,,,,
docere,"docēre, doceō, docuī, doctum","docere, doceo, docui, doctum",Verb,,"lehren, unterrichten",2,,,,,Campus C,3,,,,,,,
dolere,"dolēre, doleō, doluī","dolere, doleo, dolui",Verb,,"schmerzen, wehtun",2,,,,,Campus C,2,,,,,,,
dolere (m. Abl.),dolēre (m. Abl.),dolere (m. Abl.),Verb,m. Abl.,traurig sein über,1,,,,,Campus C,28,,,,,,,
dolor,"dolor, dolōris","dolor, doloris",Nomen,m,der Schmerz,1,,,,,Campus C,22,,,,,,,Top500
dolus,"dolus, dolī","dolus, doli",Nomen,m,"die List, die Täuschung",2,,,,,Campus C,9,,,,,,,
domina,"domina, dominae","domina, dominae",Nomen,,"die Herrin, die Dame",2,,,,,Campus C,8,,,,,,,
dominus,"dominus, dominī","dominus, domini",Nomen,m,der Herr,1,,,,,Campus C,3,,,,,,,Top500
domus,"domus, domūs","domus, domus",Nomen,"f (Abl. Sg. -ō, Genitiv Plural -ōrum, Akk. Plural -ōs)",das Haus,1,,,,,Campus C,53,,,,,,,Top500
donare,"dōnāre, dōnō, dōnāvī, dōnātum","donare, dono, donavi, donatum",Verb,,"schenken, beschenken",2,,,,,Campus C,31,,,,,,,
donum,"dōnum, dōnī","donum, doni",Nomen,,das Geschenk,1,,,,,Campus C,11,,,,,,,
dubitare,"dubitāre, dubitō","dubitare, dubito",Verb,,zweifeln; zögern,2,Mit Infinitiv,,,,Campus C,9,,,,,,,Top500
ducenti,"ducentī, ae, a","ducenti, ae, a",,,zweihundert,1,,,,,Campus C,51,,,,,,,
ducere,"dūcere, dūco, dūxī","ducere, duco, duxi",Verb,,"führen, ziehen; m. dopp. Akk.: halten für",3,,,,,Campus C,16;27,,,,,,,Top500
dulcis,"dulcis, dulcis, dulce","dulcis, dulcis, dulce",Adjektiv,,"angenehm, süß",2,,,,,Campus C,33,,,,,,,
dum,dum,dum,Subjunktion,,"während, solange, bis",3,dum mit indikativ Präsens: während,,,,Campus C,19,,,,,,,Top500
duo,"duo, duae, duo","duo, duae, duo",Adjektiv,,"zwei, beide",2,,,,,Campus C,16,,,,,,,Top500
duodecim,duodecim,duodecim,,indekl.,zwölf,1,,,,,Campus C,27,,,,,,,
dux,"dux, ducis","dux, ducis",Nomen,m/f,"der Anführer, die Anführerin",2,,,,,Campus C,47,,,,,,,Top500
e / ex,ē / ex (m. Abl.),e / ex (m. Abl.),Präposition,Präp. m. Abl.,"aus, von ... her",2,,,,,Campus C,12,,,,,,,Top500
ea hora,eā hōrā,ea hora,,,in dieser Stunde,1,,,,,Campus C,28,,,,,,,
ecce,ecce,ecce,,,schau! sieh da! schaut! seht da!,1,,,,,Campus C,22,,,,,,,
edere,"ēdere, ēdō, ēdidī, ēditum","edere, edo, edidi, editum",Verb,,"herausgeben, bekannt machen, veranstalten",3,,,,,Campus C,69,,,,,,,
educere,"ēdūcere, ēdūcō, ēdūxī, ēductum","educere, educo, eduxi, eductum",Verb,,herausführen,1,,,,,Campus C,23,,,,,,,
efferre,"efferre, efferō, extulī, ēlātum","efferre, effero, extuli, elatum",,,"herausheben, hervorbringen",2,,,,,Campus C,70,,,,,,,
efficere,"efficere, efficiō, effēcī","efficere, efficio, effeci",Verb,,"bewirken, herstellen",2,,,,,Campus C,42,,,,,,,
effugere,"effugere, effugiō, effūgī","effugere, effugio, effugi",Verb,m. Akk.,"entfliehen, entkommen",2,,,,,Campus C,58,,,,,,,
ego,ego,ego,Pronomen,Nom.,ich,1,Betont,,,,Campus C,13,,,,,,,Top500
emere,"emere, emō, ēmī, ēmptum","emere, emo, emi, emptum",Verb,,kaufen,1,,,,,Campus C,69,,,,,,,Top500
enim,enim,enim,Subjunktion,nachgestellt,"nämlich, denn",2,,,,,Campus C,18,,,,,,,Top500
eo,eō,eo,Adverb,Adv.,dorthin; deswegen,2,,,,,Campus C,37,,,,,,,Top500
eo anno,eō annō,eo anno,,,in diesem Jahr,1,,,,,Campus C,28,,,,,,,
equidem,equidem,equidem,,,"(ich) allerdings, freilich",2,,,,,Campus C,64,,,,,,,
equus,"equus, equī","equus, equi",Nomen,m,das Pferd,1,,,,,Campus C,1,,,,,,,Top500
ergo,ergō,ergo,Adverb,Adv.,"also, deshalb",2,,,,,Campus C,34,,,,,,,Top500
errare,"errāre, errō","errare, erro",Verb,,"umherirren, (sich) irren",2,,,,,Campus C,13,,,,,,,
esse,"esse, sum, fuī","esse, sum, fui",Verb,,"sein, sich befinden",2,,,,,Campus C,2;25,,,,,,,Top500
est,est,est,Verb,,"er (sie, es) ist",2,,,,,Campus C,2,,,,,,,
et,et,et,Subjunktion,,"und, auch",2,,,,,Campus C,1,,,,,,,Top500
et ... et,et ... et,et ... et,Subjunktion,,sowohl ... als auch,1,,,,,Campus C,35,,,,,,,Top500
etiam,etiam,etiam,Adverb,,"auch, sogar",2,,et + iam,,,Campus C,5,,,,,,,Top500
etsi,etsī,etsi,Subjunktion,,"auch wenn, obwohl",2,,,,,Campus C,28,,,,,,,
Europa,"Eurōpa, Eurōpae","Europa, Europae",Nomen,f,Europa (Tochter eines phönizischen Königs),1,,,,,Campus C,54,,,,,,,
Europa (Erdteil),"Eurōpa, Eurōpae","Europa, Europae",Nomen,,Europa,1,"Bereits im 5. Jh. v. Chr. teilte der griech. Historiker und Geograf Herodot die Welt in die drei Erdteile Europa, Asien und Libyen (Afrika) ein. Diese Einteilung behielt in der gesamten Antike Gültigkeit.",,,,Campus C,10,,,,,,,
Eurydica,"Eurydica, Eurydicae","Eurydica, Eurydicae",Nomen,f,Eurydike (die Gattin des Orpheus),1,,,,,Campus C,57,,,,,,,
Eurystheus,"Eurystheus, Eurystheī","Eurystheus, Eurysthei",Nomen,m,Eurystheus,1,Mythischer König,,,,Campus C,27,,,,,,,
evenire,"ēvenīre, ēveniō, ēvēnī, ēventum","evenire, evenio, eveni, eventum",Verb,,sich ereignen,1,,,,,Campus C,69,,,,,,,
evenit,"ēvenit, ut","evenit, ut",,,"es ereignet sich, dass",2,,,,,Campus C,69,,,,,,,
excitare,"excitāre, excitō, excitāvī, excitātum","excitare, excito, excitavi, excitatum",Verb,,"erregen, ermuntern, wecken",3,,,,,Campus C,55,,,,,,,
exercere,"exercēre, exerceō, exercuī, exercitum","exercere, exerceo, exercui, exercitum",Verb,,"üben, trainieren; quälen",3,,,,,Campus C,22,,,,,,,
exercitus,"exercitus, exercitūs","exercitus, exercitus",Nomen,m,das Heer,1,,,,,Campus C,52,,,,,,,Top500
exigere,"exigere, exigō, exēgi, exāctum","exigere, exigo, exegi, exactum",Verb,,"(ein)fordern, vollenden",2,,,,,Campus C,69,,,,,,,
exire,"exīre, exeō, exiī","exire, exeo, exii",Verb,,"herausgehen, hinausgehen",2,,,,,Campus C,37,,,,,,,
existimare,"exīstimāre, exīstimō","existimare, existimo",Verb,,"meinen, einschätzen",2,,,,,Campus C,21,,,,,,,Top500
expellere,"expellere, expellō, expulī","expellere, expello, expuli",Verb,,"vertreiben, verbannen",2,,,,,Campus C,44,,,,,,,
exspectare,"exspectāre, exspectō, exspectāvī, exspectātum","exspectare, exspecto, exspectavi, exspectatum",Verb,,"warten (auf), erwarten",2,,Harry: Expecto patronum,,,Campus C,10,,,,,,,Top500
exstinguere,"exstinguere, exstinguō, exstīnxī, exstīnctum","exstinguere, exstinguo, exstinxi, exstinctum",Verb,,"auslöschen, vernichten",2,,,,,Campus C,67,,,,,,,
fabula,"fābula, fābulae","fabula, fabulae",Nomen,,"die Erzählung, die Geschichte, das Theaterstück",3,,,,,Campus C,27,,,,,,,
facere,"facere, faciō, fēcī","facere, facio, feci",Verb,,"machen, tun, handeln; m. dopp. Akk.: jdn. zu etw. machen",4,,,,,Campus C,17;27,,,,,,,Top500
facilis,"facilis, facilis, facile","facilis, facilis, facile",,,leicht (zu tun),1,,,,,Campus C,62,,,,,,,Top500
facinus,"facinus, facinoris","facinus, facinoris",Nomen,n,die Handlung; die Untat,2,,,,,Campus C,61,,,,,,,
factum,"factum, factī","factum, facti",Nomen,,"die Handlung, die Tat, die Tatsache",3,,,,,Campus C,26,,,,,,,Top500
fallere,"fallere, fallō, fefellī","fallere, fallo, fefelli",Verb,,"täuschen, betrügen",2,,,,,Campus C,40,,,,,,,
falsus,"falsus, a, um","falsus, a, um",Adjektiv,,falsch,1,,,,,Campus C,60,,,,,,,
fama,"fāma, fāmae","fama, famae",Nomen,f,"der (gute / schlechte) Ruf, das Gerücht",2,,,,,Campus C,60,,,,,,,Top500
familia,"familia, familiae","familia, familiae",Nomen,,die Familie,1,,,,,Campus C,1,,,,,,,
Faustulus,"Faustulus, Faustulī","Faustulus, Faustuli",Nomen,,Faustulus,1,"Hirte, der Romulus und Remus entdeckte",,,,Campus C,32,,,,,,,
felix,"fēlīx, fēlīcis","felix, felicis",,,"erfolgreich, glückbringend, glücklich",3,,,,,Campus C,38,,,,,,,
femina,"fēmina, fēminae","femina, feminae",Nomen,f,die Frau,1,,,,,Campus C,62,,,,,,,
ferre,"ferre, ferō, tulī, lātum","ferre, fero, tuli, latum",,,"bringen, tragen; ertragen",3,,,,,Campus C,70,,,,,,,Top500
ferrum,"ferrum, ferrī","ferrum, ferri",Nomen,,das Eisen; die Waffe,2,,,,,Campus C,31,,,,,,,Top500
fidem dare,fidem dare,fidem dare,,,sein Wort geben,1,,,,,Campus C,41,,,,,,,
fidem servare,fidem servāre,fidem servare,,,die Treue / sein Wort halten,1,,,,,Campus C,41,,,,,,,
fides,"fidēs, fideī","fides, fidei",Nomen,f,"der Glaube, die Treue, das Vertrauen, die Zuverlässigkeit",4,,,,,Campus C,41,,,,,,,Top500
fiducia,"fīdūcia, fīdūciae","fiducia, fiduciae",Nomen,f,das Vertrauen,1,,,,,Campus C,65,,,,,,,
filia,"fīlia, fīliae","filia, filiae",Nomen,f,die Tochter,1,,,,,Campus C,7,,,,,,,Top500
filius,"fīlius, filiī","filius, filii",Nomen,m,der Sohn,1,,,,,Campus C,9,,,,,,,Top500
finis,"fīnis, fīnis","finis, finis",Nomen,m (Genitiv Plural finium),"das Ende, die Grenze, das Ziel, der Zweck; Pl. das Gebiet",5,,,,,Campus C,30,,,,,,,Top500
flagitium,"flāgitium, flāgitiī","flagitium, flagitii",Nomen,n,"die Schandtat, die Gemeinheit",2,,,,,Campus C,65,,,,,,,
flectere,"flectere, flectō, flexī, flexum","flectere, flecto, flexi, flexum",Verb,,"biegen, (hin)lenken, umstimmen",3,,,,,Campus C,57,,,,,,,
flere,"flēre, fleō, flēvī, flētum","flere, fleo, flevi, fletum",Verb,,"weinen, beweinen",2,,,,,Campus C,5;25,,,,,,,
fluvius,"fluvius, fluviī","fluvius, fluvii",Nomen,m,der Fluss,1,,,,,Campus C,6,,,,,,,
fons,"fōns, fontis","fons, fontis",Nomen,m (Genitiv Plural fontium),"die Quelle, der Ursprung",2,,,,,Campus C,23,,,,,,,
forma,"fōrma, fōrmae","forma, formae",Nomen,f,"die Form, die Gestalt, die Schönheit",3,,,,,Campus C,62,,,,,,,
fortis,"fortis, fortis, forte","fortis, fortis, forte",Adjektiv,,"kräftig, tapfer",2,,,,,Campus C,33,,,,,,,Top500
fortuna,"fortūna, fortūnae","fortuna, fortunae",Nomen,f,"das Schicksal, das Glück",2,,,,,Campus C,35,,,,,,,Top500
forum,"forum, forī","forum, fori",Nomen,n,"das Forum, der Marktplatz",2,,,,,Campus C,11,,,,,,,
frangere,"frangere, frangō, frēgī, fractum","frangere, frango, fregi, fractum",Verb,,zerbrechen (trans.),1,,,,,Campus C,41,,,,,,,
frater,"frāter, frātris","frater, fratris",Nomen,m,der Bruder,1,,,,,Campus C,20,,,,,,,Top500
frequens,"frequēns, frequentis","frequens, frequentis",,,"häufig, zahlreich",2,,,,,Campus C,60,,,,,,,
frumentum,"frūmentum, frūmentī","frumentum, frumenti",Nomen,n,das Getreide,1,,,,,Campus C,11,,,,,,,Top500
fuga,"fuga, fugae","fuga, fugae",Nomen,f,die Flucht,1,,Musik: Fuge. Englisch: refugee – Flüchtling,,,Campus C,25,,,,,,,Top500
fugere,"fugere, fugiō, fūgī","fugere, fugio, fugi",Verb,m. Akk.,"fliehen (vor), meiden",2,,,,,Campus C,51,,,,,,,Top500
fundere,"fundere, fundō, fūdī, fūsum","fundere, fundo, fudi, fusum",Verb,,"(aus)gießen, zerstreuen",2,,,,,Campus C,50,,,,,,,
fur,"fūr, fūris","fur, furis",Nomen,m,der Dieb,1,,,,,Campus C,19,,,,,,,
furor,"furor, furōris","furor, furoris",Nomen,m,"der Wahnsinn, die Wut",2,,,,,Campus C,59,,,,,,,
Gallia,"Gallia, Galliae","Gallia, Galliae",Nomen,f,Gallien,1,,,,,Campus C,66,,,,,,,
Gallus,"Gallus, a, um","Gallus, a, um",Adjektiv,,gallisch; Subst. der Gallier,2,,,,,Campus C,42,,,,,,,
gaudere,"gaudēre, gaudeō, gavīsus sum","gaudere, gaudeo, gavisus sum",Verb,,sich freuen,1,,,,,Campus C,4,,,,,,,
gaudere (m. Abl.),gaudēre (m. Abl.),gaudere (m. Abl.),,m. Abl.,sich freuen über,1,,Gaudi,,,Campus C,28,,,,,,,
gemitus,"gemitus, gemitūs","gemitus, gemitus",Nomen,m,"das Seufzen, die Traurigkeit",2,,,,,Campus C,52,,,,,,,
gens,"gēns, gentis","gens, gentis",Nomen,f (Genitiv Plural -ium),"der Familienverband, der Stamm, das Volk",3,,,,,Campus C,47,,,,,,,Top500
genus,"genus, generis","genus, generis",Nomen,n,"die Abstammung, die Art, das Geschlecht",3,,,,,Campus C,50,,,,,,,Top500
gerere,"gerere, gerō, gessī, gestum","gerere, gero, gessi, gestum",Verb,,"ausführen, führen, tragen",3,,,,,Campus C,29;61,,,,,,,Top500
Germania,"Germānia, Germāniae","Germania, Germaniae",Nomen,f,Germanien,1,,,,,Campus C,68,,,,,,,
Germanus,"Germānus, a, um","Germanus, a, um",Adjektiv,,germanisch; Subst. Germane,2,,,,,Campus C,51,,,,,,,
gladiator,"gladiātor, gladiātōris","gladiator, gladiatoris",Nomen,m,der Gladiator,1,,,,,Campus C,22,,,,,,,
gladius,"gladius, gladiī","gladius, gladii",Nomen,m,das Schwert,1,,Gladiator = Schwertkämpfer,,,Campus C,5,,,,,,,
gloria,"glōria, glōriae","gloria, gloriae",Nomen,f,"der Ruhm, die Ehre",2,,,,,Campus C,35,,,,,,,Top500
Graecia,"Graecia, Graeciae","Graecia, Graeciae",Nomen,f,Griechenland,1,,,,,Campus C,18,,,,,,,
Graecus,"Graecus, a, um","Graecus, a, um",Adjektiv,,griechisch; Subst. der Grieche,2,,,,,Campus C,18,,,,,,,
Graecus (Adj.),"Graecus, a, um","Graecus, a, um",Adjektiv,,griechisch; Subst. der Grieche,2,,,,,Campus C,18,,,,,,,
Graecus (Subst.),"Graecus, Graecī","Graecus, Graeci",Nomen,,der Grieche,1,,,,,Campus C,18,,,,,,,
